regex,nl
(.*)(\b([A-Za-z])&([0-9])\b),lines ending in words with a letter and number
.*([A-Za-z].*[AEIOUaeiou].*)*.*,lines with zero or more of a letter before a vowel
"(dog.*[AEIOUaeiou].*){6,}",lines that have a vowel preceded by the string 'dog' at least 6 times
(.*)(([0-9])|([A-Za-z])),lines ending with a number or letter
"(.).*(([A-Z]){7,}).*",lines where a character occurs 7 or more times before a capital letter
([A-Z]).*(([AEIOUaeiou])&(dog)&(truck)).*,"lines with a vowel, the string 'dog', and the string 'truck' after a capital letter"
.*~((dog).*([A-Za-z]).*).*,The lines that do not have the string 'dog' coming before a letter
(dog.*[0-9].*)+,"lines with 'dog', and at least 1 number"
((([A-Z]).*(dog).*)|([A-Za-z]))*,"lines with a capital before string 'dog' or letter, zero or more times"
.*(~(dog))&(truck).*,lines not containing string 'dog' and string 'truck'
".*((dog){7,})&(truck).*",lines with 'dog' 7 times and 'truck'
(\b(dog)*\b).*(.).*,lines with words and zero or more of the string 'dog'
(.*..*[a-z].*.*)+,lines containing a character followed by a lower-case letter
(([AEIOUaeiou])&(dog)&([A-Z])).*(.).*,"lines having vowel, string 'dog', and a capital before character"
((dog)&([a-z])).*([AEIOUaeiou]).*,lines that contain the string 'dog' and a lower-case letter followed by a vowel
(dog).*(..*[AEIOUaeiou].*).*,lines containing the string 'dog' preceding a character which precedes a vowel
(([A-Za-z])|([0-9])).*(~(dog)).*,lines containing a letter or a number not  followed by the string 'dog'
((.*)(dog)).*(([AEIOUaeiou])|([A-Za-z])).*,lines ending with 'dog' before a vowel or letter
"((([AEIOUaeiou])|(dog)){6,})(.*)",lines starting in 6 or more of a vowel or string 'dog'
"~((([a-z]){4,}).*(.).*)",lines with less than 4  lower-case letters before a character
([A-Za-z].*dog.*).*([0-9]).*,lines with a letter before string 'dog' then number
([a-z]).*(.*([0-9])+.*).*,A lower case letter appears before containing a number at least once in the lines
(..*[A-Z].*).*(dog).*,lines containing the string 'dog' where the string is preceded by a character followed by a capital letter
((dog)&(.)).*([AEIOUaeiou]).*,lines containing 'dog' and a character before a vowel
.*\b(dog)|([a-z])|(truck)\b.*,"Items with words containing 'truck', 'dog', or a small letter."
"((.){2,})|(~(dog))","Lines with character, two or more times or not the string 'dog'"
([A-Za-z].*[A-Z].*)*,"lines with letter followed by capital letter, zero or more times"
(~(dog)).*(([AEIOUaeiou])|(truck)|(.)).*,"Lines not having the string 'dog' before either vowel, the string 'truck', or a character"
"(([a-z]){5,})&(dog.*[AEIOUaeiou].*)","lines with the string 'dog before a vowel, and a lower case letter at least  5 times"
((dog)|((.*)([A-Za-z])))(.*),lines starting with string 'dog' or ending with a letter
"~(([a-z]){2,})",lines with less than 2 lower case-letters
~((([A-Z])|([AEIOUaeiou]))(.*)),Lines that don't begin with a capital letter or vowel
~(([0-9])|([a-z])|(.)),"lines without a number, lower-case letter, or character"
"(([AEIOUaeiou]){3,}).*([A-Za-z]).*",lines possessing a vowel which precedes a letter no less than 3 times and all above
.*([0-9])|(dog)|(.).*,"lines with a character, a number, or the string 'dog'"
"((.)|([a-z])){3,}",lines with 3 or more characters or lower-case letters
(((dog)|([AEIOUaeiou]))(.*))*,Items beginning with a vowel or 'dog'.
.*([A-Za-z])&([AEIOUaeiou])&(dog).*,"lines with a letter, vowel, and the string 'dog'"
(.*)(([AEIOUaeiou])|([A-Za-z])),lines ending with a vowel or letter
"~(\b(dog){3,}\b)","lines not words with string 'dog', 3 or more times"
.*(([a-z])|(dog)).*([A-Z]).*.*,lines containing lower-case letter or string 'dog' before capital letter
\b~((dog)|([A-Z])|(truck))\b,"lines don't contain the string 'dog', a capital letter, nor the string 'truck'"
(([a-z])*).*(dog).*,"lines containing a lower-case letter, with any amount of times before 'dog'"
".*([a-z])&((dog){6,}).*","lines containing lower-case letter and string 'dog', 6 or more times"
(([A-Za-z])|([a-z])).*(.).*,lines with a lower-case letter before a character
~(((.*)(dog)).*(truck).*),lines not ending in string 'dog' before 'truck'
"(([AEIOUaeiou])|([a-z])){3,}",lines with 3 or more of a vowel or lower-case letter
(\b([0-9]).*([A-Z]).*\b)+,lines with words with a number before capital letter
(\bdog.*[A-Z].*\b)+,lines with words with string 'dog' before a capital letter
(([A-Za-z])&(.)).*(dog).*,lines with letters and a character before the string 'dog'
([AEIOUaeiou]).*(([A-Z])|(.)).*,lines with a vowel occurring before a capital letter or a character
(([a-z])(.*))+,Items beginning with a small letter at least one time.
\b(dog)|(truck)\b,Lines containing the string 'dog' or the string 'truck'
~(([AEIOUaeiou])|(dog)|(.)),"lines without a vowel, the string 'dog', or a character"
(([A-Za-z])+)&((.*)(dog)),lines with a letter and ending with the string 'dog'
\b((dog)|(.)|([AEIOUaeiou])).*(truck).*\b,"lines with words and the string 'dog', character, or vowel before string 'truck'"
(.*)(\b(dog)|(.)|(truck)\b),"lines ending with words with either the string 'dog', a character, or the string 'truck' in them"
~(\b(dog)&(truck)\b),"Lines without ""dog"" or ""truck"""
(.*..*).*(dog).*,lines with a character before the string 'dog'
(dog).*([0-9].*[AEIOUaeiou].*).*,lines with the string 'dog' before a number followed by a vowel in them
~(((.*)([A-Za-z]))&([a-z])),lines which are not ending with a letter and not a lower-case letter
([A-Za-z].*[0-9].*).*(.).*,lines with a letter before number then character
(([A-Za-z])&([A-Z])).*(dog).*,"lines with a capital letter before ""dog"""
(dog).*([A-Za-z].*[a-z].*).*,Items with 'dog' preceding a small letter.
~(([AEIOUaeiou])|(dog)|([a-z])),Items without a vowel or 'dog' or small letter.
(\b(.*)([0-9])\b)*,zero or more lines with words ending with a number
"((.)|([A-Za-z])){5,}","lines with character or letter, 5 or more times"
"(\bdog\b){7,}",lines with words with 'dog' 7 times
(.*[0-9].*).*((dog)&(.)).*,lines containing a number before string 'dog' and character
(([AEIOUaeiou])&([0-9])&([A-Z])).*(dog).*,"lines having a vowel, number, and capital letter before string 'dog'"
".*([A-Za-z].*dog.*){7,}.*","lines with a letter followed by the word ""dog"" at least 7 times."
\b(([A-Z]).*([a-z]).*)|(dog)\b,lines with words and a capital before lower case letter or string 'dog'
"([0-9]).*((dog){2,}).*",lines with a number before 2 or more 'dog'
([AEIOUaeiou]).*(dog.*[a-z].*).*,lines that have a vowel followed by 'dog' and then a lower-case letter
\b((dog)*)&(.)\b,lines that have zero or more of the string 'dog' and a character
(~(dog)).*((.)|(truck)|(ring)).*,"lines without the string 'dog' followed by either a character, the string 'truck', or the string 'ring'"
.*([0-9])&(dog)&([a-z]).*,"Items with 'dog', a small letter, and a numeral."
"((dog){6,}).*([A-Z]).*","lines contain the string 'dog', at least 6 times prior to a capital letter"
~((dog)|([0-9])|([A-Za-z])),"Items without a numeral, a letter, or 'dog'."
"((.){4,}).*([A-Z]).*",Items with a character at least four times preceding an uppercase letter.
"(([AEIOUaeiou])|([A-Za-z])){3,}",lines with 3 or more of a vowel or letter
\b(dog)&((truck)|([a-z]))\b,lines having the string 'dog' and the string 'truck' or a lower-case letter
\b(dog.*[AEIOUaeiou].*)(.*)\b,lines containing words that start with the string 'dog' followed by a vowel
((.)|([A-Za-z]))(.*),lines with a character or a letter
((dog)(.*)).*((truck)+).*,lines starting with 'dog' before 'truck' once
(.).*([a-z].*dog.*).*,Lines with a character before a lower case letter
(.).*([a-z].*dog.*).*,lines with a character before lower-case letter then string 'dog'
"([a-z].*[A-Z].*){2,}","lines with a lower-case letter followed by a capital letter, at least twice"
"([AEIOUaeiou].*..*){6,}",lines with 6 or more vowels followed by characters
~(([A-Z])|([a-z])|(dog)),"lines without a capital letter, lower-case letter, or string 'dog'"
(.*[A-Za-z].*).*([a-z].*[A-Z].*).*,lines with a letter before a lower-case letter then capital letter
\b((dog)|(truck))&(ring)\b,lines containing words having the string 'dog' or the string 'truck' and the string 'ring'
([A-Z].*dog.*).*([a-z]).*,"lines in which a capital letter is followed by a 'dog' string, coming before a letter that's lower-case"
[A-Za-z],lines that only have a letter
(.).*(dog.*[A-Za-z].*).*,lines with a character before the string 'dog' then a letter
(.*[a-z].*[A-Za-z].*.*)*,"lines with a lower case letter followed by a letter, or not"
~((.*[a-z].*)&([A-Z])),lines without a lower-case or capital letter
~(([A-Z])&([A-Za-z])&([0-9])),"lines not having a capital letter, a letter, and a number"
.*~(([A-Za-z])|([a-z])).*,lines without a letter
((dog)|(([A-Za-z])&(truck)))*,lines with the string 'dog' or a letter and the string 'truck'
.*(.).*([A-Z]).*.*,lines containing character before capital letter
"((.){4,})|((dog)&(truck)&([AEIOUaeiou]))","lines with a character, 4 or more times or string 'dog', string 'truck', and vowel"
"~((([AEIOUaeiou])|([a-z])){7,})","lines not having vowel or lower-case letter, 7 or more times"
"(([0-9])|([A-Za-z])){4,}",lines with 4 or more of a number or letter
([0-9]).*((dog)|(truck)|(ring)).*,lines with a number before 'dog' 'truck' or 'ring'
(\b(dog)&([A-Za-z])&(truck)\b)(.*),"lines beginning with words, the string 'dog', the string 'truck', and a letter"
"((dog){3,}).*(([A-Za-z])|(truck)).*",lines with 3 or more of the string 'dog' before having a letter or string 'truck'
.*([AEIOUaeiou])|(~(dog)).*,lines with a vowel or without string 'dog'
(~(.)).*(dog).*,lines containing the string 'dog' not preceded by a character
"(dog).*(([A-Z]){3,}).*",lines that have a capital letter after the string 'dog' at least 3 times
([A-Z]).*((.*)(dog)).*,Items with an upper case letter preceding 'dog'.
([a-z].*..*).*([A-Z]).*,lines which have a lower-case letter followed by a character before a capital letter
((dog)|(truck)|(ring)).*([A-Za-z]).*,"lines that have the string 'ring, the string 'truck' or the string 'dog' before a letter"
((dog)|(truck)|(ring)).*([A-Za-z]).*,"lines with the string 'dog', 'truck', or 'ring' before a letter"
\b([A-Z]).*([a-z]).*\b,lines that have words containing a lower-case letter following an upper-case letter
(dog).*(truck.*[A-Z].*).*,Items with 'dog' preceding 'truck' preceding an upper case letter.
\b~(dog.*[0-9].*)\b,lines with string 'dog' followed by a number
(([0-9])&(dog)&(truck)).*([A-Za-z]).*,"lines with a number, and the strings 'dog' and 'truck' before a letter"
(([A-Za-z])|([AEIOUaeiou])).*([A-Z]).*,lines with letter or vowel before capital letter
([a-z]).*((.)&([A-Za-z])&([0-9])).*,"lines with lower-case letter before character, letter, and number"
(([a-z])|([A-Z])).*([AEIOUaeiou]).*,lines with a lower-case letter before a vowel
.*\bdog.*[AEIOUaeiou].*\b.*,lines containing words with the string 'dog' followed by a vowel in it
\b(([AEIOUaeiou])(.*))|(dog)\b,lines with words starting with a vowel or the string 'dog'
(.*)(([0-9])|(([A-Z])+)),lines ending in a number or capital letter
(.*dog.*)&(([AEIOUaeiou])|(truck)),lines with the string 'dog' and vowel or string 'truck'
(dog).*(([A-Z])|(truck)|(.)).*,lines with the string 'dog' preceding an uppercase letter or the string 'truck' or a character
([A-Z].*dog.*).*(truck).*,lines which contain a capital letter followed by the string 'dog' which is followed by the string 'truck'
(([AEIOUaeiou])&([A-Z])).*([0-9]).*,lines with a number after a vowel and a capital letter
"(\b(dog).*([AEIOUaeiou]).*\b){3,}",lines with words and the string 'dog' before 3 or more vowels
\b(dog)|(truck)|(ring)\b,"lines with words containing the string 'dog', the string 'truck', or the string 'ring'"
"([AEIOUaeiou]).*(([a-z]){6,}).*",lines with at least 6 vowels before a lower-case letter
(([0-9])&(dog)&(.)).*([A-Z]).*,"lines containing a number, the string 'dog', and a character followed by a capital letter"
(.*)(.*~(dog).*),lines ending with not containing string 'dog'
\b.*([A-Za-z])+.*\b,lines with words containing a letter
(([A-Za-z])|(.)).*([AEIOUaeiou]).*,lines with letters or characters before a vowel
\b(([0-9])|(.)).*([AEIOUaeiou]).*\b,lines with a vowel preceded by a number or a character
(.*dog.*..*.*)+,lines with the string 'dog' before a character
"(\b(.)|(dog)\b){6,}",lines with words and a character or the string 'dog' at least 6 times
(.*[0-9].*)|((dog)(.*)),lines starting with 'dog' or with a number.
([0-9].*[a-z].*)*,lines containing  a number at least once followed by a lower-case letter
"((dog)|([0-9])){5,}",lines containing 'dog' or 5 numbers
.*([AEIOUaeiou])&(.)&(dog).*,lines containing the string 'dog' along with a character and a vowel
"~(([0-9]){4,})",four or more times the lines should not have a number
\b(dog.*truck.*)*\b,"lines with words with string 'dog' followed by string 'truck', zero or more times"
\b(dog)&([AEIOUaeiou])&(truck)\b,"lines that have the word 'dog', a vowel, and the word 'truck'"
(dog.*truck.*)|(~([AEIOUaeiou])),lines with string 'dog' followed by string 'truck' or not a vowel
.*(dog.*truck.*)+.*,lines with the string 'dog' before 'truck'
"((.){6,}).*([A-Za-z]).*",lines with a character 6 times before a letter
.*~(([A-Z])|([0-9])).*,lines without capital letters or numbers
((.)&([a-z])).*([0-9]).*,"lines with a character, lower-case letter before a number"
"(\b~(dog)\b){2,}",lines that avoid using the string 'dog' more than once.
dog.*[a-z].*,"lines that have the string ""dog"" and a lower-case letter"
"([0-9].*[AEIOUaeiou].*){4,}",lines with 4 or more numbers followed by vowels
((.*)(.*..*)).*([A-Za-z]).*,lines ending with a character followed by a letter
(.*)(.*(dog)&(.).*),lines ending with containing string 'dog' and character
~(dog.*[a-z].*),lines not containing the string 'dog' preceding a lower-case letter
.*(dog).*([a-z].*[A-Za-z].*).*.*,lines containing the following -string 'dog' before a lower-case letter followed by a letter
(~([a-z]))|(dog.*[A-Za-z].*),lines not having a lower-case letter or string 'dog' followed by letter
~(((dog)|(.))+),lines without the string 'dog' or character
(.*[AEIOUaeiou].*)|(([a-z])+),lines with a vowel or lower-case letter
(dog).*(([a-z].*[A-Za-z].*)*).*,"lines with the string 'dog' before a lower-case letter followed by a letter, zero or more times in them"
(([a-z])&(dog)&(truck)).*([A-Za-z]).*,lines with a lower-case letter and strings 'dog' and 'truck' before letter
([0-9].*dog.*).*(.*truck.*).*,lines with a number before string 'dog' then string 'truck'
"((dog){3,}).*([a-z]).*","lines containing the string 'dog', 3 or more times followed by a lower-case letter"
"([AEIOUaeiou].*[a-z].*){6,}",lines with 6 or more of a vowel before a lower-case letter
"\b(([0-9]){4,})&(.)\b",lines with 4 or more of a word and number with a character
(([A-Z])&(dog)).*([0-9]).*,lines that have both the string 'dog' and a capital letter occur before a number
"(.*dog.*truck.*.*){7,}","lines containing string 'dog' followed by string 'truck', 7 or more times"
((dog)|(([A-Za-z]).*(truck).*))(.*),lines starting with string 'dog' or letter before string 'truck'
"\b([A-Za-z]){5,}\b",lines with words and a letter 5 times
(((.*)(.))|([0-9]))*,lines ending with zero or more characters or numbers
((.*)([a-z]))&(([A-Z])(.*)),lines with a capital letter and ending with a lower-case letter
.*~([0-9].*dog.*).*,lines without a number before string 'dog'
.*(.*)(([0-9])*).*,"lines that end with a number, zero times or more"
\b([0-9])(.*)\b,"lines that have a number, then words"
\b([a-z])|(.)\b,lines containing words with a lower-case letter or character
([a-z].*[A-Z].*)(.*),lines beginning with a letter that's lower-case and followed by a capital letter
"(([0-9])|(.)){4,}",lines with at least four numbers or characters
"((.){4,})(.*)",Items beginning with a character at least four times.
((dog)|(truck)).*([a-z]).*,lines with the string 'dog' or the string 'truck' followed by a lower-case letter
.*([a-z])|([A-Z]).*,Lines containing a lower case letter or capital letter
"(.*[A-Z].*){3,}",lines containing 3 or more capital letters
"((dog)|(.)){2,}",lines that have a character or the string 'dog' occurring at least twice
"([A-Za-z].*..*){7,}",lines with a character after a letter at least 7 times
(..*[0-9].*).*([A-Z]).*,lines with a character before a number then a capital letter
\b(.*)(([A-Z])*)\b,"lines ending with a capital letter, zero or more times"
\b(([A-Za-z])&(dog))|([0-9])\b,"lines with words, a letter, and the string 'dog' or a number"
(..*[A-Za-z].*).*([0-9]).*,Lines that have a character followed by a number then a letter
([A-Z]).*((.*)([AEIOUaeiou])).*,lines with a capital before ending with vowel
((dog)&(.)).*(([AEIOUaeiou])|(truck)).*,lines that have the word 'dog' plus a character preceding either a vowel or the word 'truck'
((.*)(dog))|(~([0-9])),lines ending in the string 'dog' or non number
"((dog){7,})&((truck)|([AEIOUaeiou]))","lines with the string 'dog', 7 or more times and the string 'truck' or a vowel in them"
"(~(dog)).*(([AEIOUaeiou]){4,}).*","lines which are not having the string 'dog' before a vowel, 4 or more times"
~(([AEIOUaeiou])&((.*)(dog))),lines without a vowel and doesn't end with the string 'dog
"(\b(dog)|(truck)\b){7,}",lines containing the string 'dog' or 7 or more of the string 'truck'
((.)|(dog)|([0-9])).*([A-Z]).*,"lines which are having either a character, the string 'dog', or a number before a capital letter"
(.*)(..*[a-z].*),lines ending with a character and a lower-case letter.
"(([0-9]){3,}).*([a-z]).*",Lines with a number
.*([0-9])|(.)|([AEIOUaeiou]).*,"lines which contain any of the following: number, character, or vowel"
~(([0-9])|(dog)|([A-Za-z])),"lines without a number, 'dog', or a letter"
"([a-z]).*((dog){7,}).*","lines containing a lower case-letter followed by the string 'dog', 7 or more times"
([a-z].*[AEIOUaeiou].*).*([0-9]).*,"lines that have a lower-case letter, vowel and then a number"
(dog).*(~((.*)(.))).*,lines with the string 'dog' and not ending in a character
\b([A-Z].*dog.*)(.*)\b,lines with words starting with a capital followed by string 'dog'
\b.*(.)&(dog).*\b,lines with words that contain character and string 'dog'
"(((.)&([A-Za-z]))|(dog)){6,}",lines with 6 or more of a character and letter or string 'dog'
((.)|([A-Za-z])).*([AEIOUaeiou]).*,lines containing a letter or character preceding a vowel
"\b.*([0-9]){3,}.*\b","lines with words that have numbers, 3 times or more"
\b([A-Z].*dog.*)*\b,"lines that contain words with a capital letter followed by the string 'dog', zero times or more"
~((([A-Za-z])&([a-z])&(dog)).*([A-Z]).*),lines without a lower-case letter or string 'dog' before a capital letter
"([A-Za-z]).*((dog){4,}).*",lines with 4 or more of a letter before the string 'dog'
(.*)([a-z]),lines with a lower-case letter at the end
(.*)((.)|([AEIOUaeiou])),lines that end with a character or a vowel
(([AEIOUaeiou])&([A-Z])&(dog)).*([0-9]).*,"Items with an upper case letter, a vowel, and 'dog"
(([AEIOUaeiou])&([A-Z])&(dog)).*([0-9]).*,"lines with a vowel, a capital letter, as well as the string 'dog' followed by a number"
(dog).*(([A-Z])|([AEIOUaeiou])|([a-z])).*,"Lines with a capital letter, a vowel, or a lower-case letter, before 'dog'."
\b([AEIOUaeiou])|([A-Za-z])|(dog)\b,"Items with words containing 'dog', a ltter, or a vowel."
(([A-Za-z])+).*(dog).*,lines with the string 'dog' after a letter at least once
\b(.*)([A-Za-z].*[a-z].*)\b,lines that have words ending with a letter before a lower-case letter
.*([A-Za-z])&([AEIOUaeiou])&([A-Z]).*,"lines with a letter, a vowel, and a capital letter"
"(([AEIOUaeiou]){5,}).*([A-Za-z]).*","lines with vowel, 5 or more times before letter"
(.*)(\b([A-Za-z])|(.)\b),lines that end with words with a character or a letter
((.*)(.))&(.*dog.*),lines that end with character and have string 'dog'
((dog).*(.).*)|(([A-Z])(.*)),lines with the string 'dog' before a character with a capital letter
"(dog).*(\b(truck){3,}\b).*",lines that contain the string 'dog' before 'truck' three times or more
\b(dog)|([AEIOUaeiou])|([0-9])\b,"lines with words of either 'dog', a vowel, or number"
([A-Za-z]).*((dog)|(.)|([0-9])).*,"lines with a letter before either ""dog"", a character, or a number"
\b.*(dog)&(truck)&([a-z]).*\b,"lines with words that contain the string 'dog', the string 'truck', and a lower-case letter in them"
(dog.*[A-Z].*).*([0-9]).*,lines with string 'dog' followed by capital letter before number
((dog)|([A-Z])|([0-9])).*([a-z]).*,lines that contain one of the following: the string 'dog'; a capital letter; or a lower-case letter with a number before it
((dog)|([a-z])|([0-9])).*([A-Z]).*,"lines with a capital letter after the string 'dog', a lower-case letter, or a number"
((([0-9])+)|(dog))(.*),lines beginning at least 1 number or the string 'dog'
(.*)(\b([A-Za-z]).*([A-Z]).*\b),lines ending with words containing a letter before a capital letter
~(([a-z])|([AEIOUaeiou])|(.)),"Lines do not have a lower - case letter, a vowel, or a character"
(([0-9])|((.).*([A-Z]).*))+,lines with a number or character before a capital at least once
(([A-Za-z].*[a-z].*)(.*))*,"lines starting with letter followed by lower-case letter, zero or more times"
(([A-Za-z])|((.)+))(.*),a letter or a character begins the line at least once
~(.*([a-z]).*([A-Z]).*.*),lines not containing a lower-case letter before a capital
.*([A-Za-z])|([A-Z])|(dog).*,"lines containing either a letter, a capital letter, or 'dog'"
.*([A-Z])&(.)&([AEIOUaeiou]).*,"lines with a capital letter, character, and vowel"
"(([0-9])|([AEIOUaeiou])){5,}",lines with 5 or more of a number or vowel
(~([0-9]))&((dog)*),lines without zero or more of a number and string 'dog'
([0-9]).*((.*dog.*)+).*,lines containing a number followed by the string 'dog' at least one time.
([AEIOUaeiou]).*([A-Za-z]).*,lines that have a vowel followed by a letter
.*([a-z])&(.).*,lines containing lower-case characters
(([AEIOUaeiou])|([a-z])|([A-Za-z])).*([A-Z]).*,"Lines having either vowel, lower case letter, or a letter before a capital letter"
.*(dog)&([A-Z])&([A-Za-z]).*,"lines with the string 'dog', a capital letter, and a letter"
(dog).*(([A-Za-z])*).*,lines with the string 'dog' before a letter
(([AEIOUaeiou])|(dog)).*([A-Z]).*,lines with a capital letter preceded by a vowel or by the string 'dog'
~(\b(.*)([a-z])\b),lines without words and ending in a lower-case letter
(([0-9])*).*([a-z]).*,lines with a zero or more numbers before a lower-case letter
"(~(([a-z]){4,})).*([A-Z]).*","Lines without a lower case letter , at least 4 times before a capital letter"
((dog)|([A-Z])).*([0-9]).*,lines with 'dog' a letter before a number
.*([a-z])|(.)|([AEIOUaeiou]).*,"lines with a lower-case letter, character, or vowel"
"~(((.)(.*)){2,})","lines not starting with character, 2 or more times"
(.*)([AEIOUaeiou].*[a-z].*),lines whiich are ending with a vowel followed by a lower-case letter
((.)&([0-9])).*(dog).*,Lines with characters and numbers before the word 'dog'.
(.*)(\b([AEIOUaeiou])|(dog)|(truck)\b),lines ending in words with a vowel or the string 'dog' or 'truck'
\b(([AEIOUaeiou])&(dog)&(truck))&(ring)\b,"lines with words and a vowel and string 'dog', 'truck', and 'ring'"
~(([AEIOUaeiou])|([A-Z])),Items without an upper case letter or vowel.
((dog)&(truck)&(ring)).*([0-9]).*,"lines containing 'dog', 'truck', and 'ring' followed by a number"
(([AEIOUaeiou])|(.)|([A-Za-z])).*(dog).*,"lines containing a vowel, a character, or a letter followed by the string 'dog'"
(([A-Z])&([A-Za-z])).*(.).*,lines with a character after a capital letter
(dog).*(..*truck.*).*,lines with the string 'dog' before a character then the string 'truck'
(\b([A-Za-z])(.*)\b)*,lines starting with a letter at least zero times
(([A-Z])+).*(([0-9])&([A-Za-z])).*,lines with a capital letter before a number and a letter
(\b.*[a-z].*\b)+,lines with words with a lower-case letter
(.*)((~([A-Z]))|([AEIOUaeiou])),lines ending with not a capital or vowel
\b((.*)([0-9])).*([A-Za-z]).*\b,lines with words ending with a number before letter
(([0-9])|([a-z])|(dog)).*([AEIOUaeiou]).*,"lines with a number, lower-case letter, or string 'dog' before a vowel"
(~(dog)).*((.*)([a-z])).*,lines not having 'dog' with a lower-case letter
.*(.)&([AEIOUaeiou])&([A-Z]).*,"lines with a character, vowel, and capital letter"
(([a-z])(.*)).*((dog)&(truck)&(ring)).*,"lines starting with  lower-case letter before ""dog"", ""truck"", and ""ring"""
(.*)(\b[A-Za-z].*[AEIOUaeiou].*\b),lines ending in words with a letter before vowel
~(([A-Za-z])&(.)),lines that don't have a letter nor a character
([0-9].*[a-z].*)+,lines with a number and letter
[AEIOUaeiou],lines containing vowel
([A-Za-z].*[0-9].*).*([A-Z]).*,Items with a letter preceding a numeral preceding an upper case letter.
"(([A-Za-z])|([a-z])){5,}",lines that have five or more letters or lower-case letters
~(.*([a-z])+.*),lines with a lower-case letter
\b([AEIOUaeiou])&([0-9])&(.)\b,"lines containing a vowel, a number, and a character"
"(\b(.*)([a-z])\b){7,}",words thst end with 7 or more lower-case letters
([AEIOUaeiou]).*(..*[A-Za-z].*).*,lines with vowel then a character and letter
((([0-9])&([a-z]))|(.))+,lines with number and lower-case letter or character at least once
((dog)&([AEIOUaeiou])).*(.).*,lines that contain the word 'dog' and a vowel before a character
